Rank,School name
#1,Massachusetts Institute of Technology
#2,Stanford University
#3,University of California--Berkeley
#4,California Institute of Technology
#5Tie,Carnegie Mellon University
#5Tie,University of Michigan--Ann Arbor
#7,Georgia Institute of Technology
#8,Purdue University--West Lafayette
#9Tie,University of Illinois--Urbana-â€‹Champaign
#9Tie,University of Texas--Austin (Cockrell)
#11Tie,Texas A&M University--College Station
#11Tie,University of Southern California (Viterbi)
#13Tie,Columbia University (Fu Foundation)
#13Tie,Cornell University
#13Tie,University of California--San Diego (Jacobs)
#16,University of California--Los Angeles (Samueli)
#17,Princeton University
#18,University of Wisconsin--Madison
#19Tie,Johns Hopkins University (Whiting)
#19Tie,Northwestern University (McCormick)
#19Tie,University of California--Santa Barbara
#19Tie,University of Pennsylvania
#23,Harvard University
#24,University of Maryland--College Park (Clark)
#25Tie,North Carolina State University
#25Tie,University of Washington
#27Tie,University of Minnesota--Twin Cities
#27Tie,Virginia Tech
#29Tie,Duke University (Pratt)
#29Tie,Rice University (Brown)
#31,Ohio State University
#32Tie,Pennsylvania State University--University Park
#32Tie,University of Colorado--Boulder
#34Tie,Boston University
#34Tie,University of California--Davis
#36,Vanderbilt University
#37,University of California--Irvine (Samueli)
#38,Yale University
#39Tie,Northeastern University
#39Tie,Rensselaer Polytechnic Institute
#39Tie,University of Virginia
#42Tie,Arizona State University (Fulton)
#42Tie,University of Florida
#42Tie,University of Pittsburgh (Swanson)
#45Tie,Iowa State University
#45Tie,New York University (Tandon)
#45Tie,University of Rochester
#48Tie,University of Delaware
#48Tie,University of Notre Dame
#50Tie,Case Western Reserve University
#50Tie,Washington University in St. Louis
#52Tie,Brown University
#52Tie,Dartmouth College (Thayer)
#54Tie,"Rutgers, The State University of New Jersey--New Brunswick"
#54Tie,University of Arizona
#56Tie,Colorado School of Mines
#56Tie,Michigan State University
#56Tie,University of Dayton
#56Tie,University of Massachusetts--Amherst
#60Tie,Lehigh University (Rossin)
#60Tie,University of Tennessee--Knoxville (Tickle)
#60Tie,University of Utah
#63Tie,University of Illinois--Chicago
#63Tie,University of Texas--Dallas (Jonsson)
#65Tie,Auburn University (Ginn)
#65Tie,University of Connecticut
#67Tie,Colorado State University
#67Tie,Stony Brook University--SUNY
#67Tie,Tufts University
#67Tie,University at Buffalo--SUNY
#67Tie,University of California--Riverside (Bourns)
#67Tie,University of Iowa
#73Tie,University of Houston (Cullen)
#73Tie,University of Texas--Arlington
#75Tie,Clemson University
#75Tie,Drexel University
#75Tie,University of Central Florida
#78Tie,Illinois Institute of Technology (Armour)
#78Tie,Oregon State University
#78Tie,Syracuse University
#81Tie,Rochester Institute of Technology (Gleason)
#81Tie,Stevens Institute of Technology (Schaefer)
#81Tie,University of North Carolina--Chapel Hill
#81Tie,Washington State University
#85Tie,Michigan Technological University
#85Tie,University of California--Santa Cruz (Baskin)
#87Tie,New Jersey Institute of Technology
#87Tie,University of Cincinnati
#89Tie,George Washington University
#89Tie,Missouri University of Science & Technology
#89Tie,University of Alabama--Huntsville
#89Tie,University of Missouri
#89Tie,University of South Florida
#94Tie,Texas Tech University (Whitacre)
#94Tie,University of Kansas
#94Tie,University of Kentucky
#94Tie,University of Nebraska--Lincoln
#94Tie,Worcester Polytechnic Institute
#99Tie,Louisiana State University--Baton Rouge
#99Tie,University of New Mexico
#99Tie,University of Oklahoma
